record_id,date,region,sales_channel,customer_segment,product_category,revenue,units_sold,cost_of_goods,marketing_spend,customer_acquisition_cost,profit_margin,return_rate
148,2023-05-06,West,In-Store,Premium,Clothing,6405.47,3,1156.08,845.17,90.36,0.165,0.074
149,2022-08-23,North,Mobile App,Premium,Sports,634.67,3,4786.56,685.56,75.92,0.481,0.013
150,2020-04-14,South,In-Store,Basic,Automotive,4917.78,44,4364.83,847.14,128.2,0.154,0.122
151,2021-07-28,Central,Phone,Premium,Garden,3272.18,33,2870.57,32.99,187.0,0.4,0.068
152,2023-04-01,South,Mobile App,Regular,Clothing,5616.45,17,160.33,719.69,150.79,0.128,0.072
153,2021-11-09,West,Mobile App,Regular,Beauty,1142.35,6,57.95,503.49,110.14,0.432,0.118
154,2023-07-22,North,Online,Regular,Clothing,6743.87,51,963.73,456.35,90.13,0.453,0.028
155,2021-12-11,North,In-Store,Premium,Books,9819.55,86,812.75,17.55,172.31,0.111,0.019
156,2022-05-31,South,Mobile App,Basic,Electronics,7956.9,49,4506.58,513.34,116.77,0.26,0.01
157,2021-08-13,Central,Phone,Regular,Automotive,7043.47,10,1891.52,23.08,152.35,0.124,0.112
158,2022-03-13,South,Phone,Basic,Food,675.2,33,4276.4,621.29,170.18,0.227,0.062
159,2021-05-03,East,In-Store,Basic,Garden,8183.03,27,229.62,374.59,137.02,0.147,0.043
160,2020-04-05,Central,Online,Premium,Garden,4582.29,26,3295.4,83.07,68.76,0.269,0.13
161,2020-06-01,South,Mobile App,Premium,Beauty,8207.27,35,1334.71,25.79,84.75,0.407,0.041
162,2023-12-03,East,Phone,Premium,Home,617.91,35,1204.25,620.28,73.43,0.493,0.079
163,2023-08-22,Central,Mobile App,Basic,Toys,6358.98,49,3581.87,580.69,125.36,0.229,0.032
164,2022-05-11,North,In-Store,Premium,Automotive,2867.07,49,4800.38,788.81,57.67,0.309,0.038
165,2022-10-26,Central,In-Store,Regular,Home,6112.1,54,2949.85,748.81,103.88,0.474,0.074
166,2020-07-23,East,Online,Basic,Garden,433.99,87,71.77,245.79,64.37,0.271,0.116
167,2020-07-01,East,In-Store,Premium,Garden,2877.4,95,4383.96,383.36,99.91,0.344,0.037
168,2022-02-14,West,Phone,Regular,Food,2780.13,82,559.5,451.64,189.75,0.45,0.139
169,2020-10-20,North,Phone,Premium,Toys,9506.98,76,632.65,188.12,38.29,0.267,0.077
170,2020-05-03,West,In-Store,Regular,Electronics,1257.82,99,1870.9,349.24,71.29,0.129,0.01
171,2021-03-11,North,In-Store,Premium,Automotive,6232.08,87,2047.13,500.25,71.14,0.163,0.084
172,2021-02-05,Central,Phone,Regular,Garden,6579.55,57,834.53,739.93,77.77,0.258,0.131
173,2023-01-22,West,Online,Basic,Garden,3938.92,35,1921.66,366.49,44.13,0.268,0.109
174,2022-08-21,North,In-Store,Regular,Garden,8955.4,50,1759.53,139.56,14.99,0.108,0.002
175,2023-09-20,East,Phone,Basic,Sports,4752.59,26,962.37,666.58,47.34,0.113,0.023
176,2023-03-08,East,In-Store,Basic,Books,1323.38,79,3318.77,245.19,178.75,0.299,0.131
177,2022-02-09,Central,Mobile App,Basic,Electronics,5394.84,52,1329.71,458.32,138.44,0.271,0.102
178,2021-10-13,North,Phone,Premium,Food,9160.4,14,1095.3,253.84,195.97,0.224,0.005
179,2020-01-03,West,Mobile App,Premium,Electronics,8596.28,51,4630.29,918.38,39.89,0.257,0.072
180,2021-12-03,South,In-Store,Basic,Sports,5662.25,89,2881.5,898.21,85.9,0.272,0.121
181,2022-06-12,Central,Phone,Premium,Home,9927.14,96,1634.47,11.47,181.32,0.392,0.069
182,2022-02-21,North,Mobile App,Premium,Books,6443.27,55,608.7,26.69,43.72,0.19,0.122
183,2023-07-30,South,Online,Basic,Home,5626.97,91,2659.48,366.81,99.12,0.31,0.083
184,2021-08-21,West,Online,Basic,Beauty,4335.24,82,3897.91,882.4,181.84,0.117,0.049
185,2021-07-08,North,Mobile App,Basic,Books,3637.64,40,1409.41,499.27,176.65,0.29,0.147
186,2021-01-07,North,Phone,Regular,Home,1888.27,38,2413.96,182.0,62.28,0.196,0.145
187,2020-05-16,West,Phone,Premium,Garden,7947.89,42,140.61,65.61,159.01,0.22,0.015
188,2022-11-12,East,Phone,Basic,Beauty,9867.35,15,2928.49,743.53,163.92,0.114,0.055
189,2023-08-04,Central,Phone,Premium,Clothing,6247.65,91,3091.73,307.14,11.8,0.22,0.149
190,2020-04-22,North,Mobile App,Regular,Food,3741.36,76,3083.07,438.35,179.7,0.225,0.037
191,2022-09-24,Central,Mobile App,Regular,Clothing,4185.55,44,1361.03,629.18,195.24,0.184,0.128
192,2023-04-11,West,In-Store,Premium,Automotive,348.58,69,1146.16,317.99,73.93,0.326,0.045
193,2020-06-07,North,Phone,Regular,Garden,6552.18,47,669.12,97.77,43.7,0.433,0.054
194,2021-11-25,South,Phone,Basic,Garden,1379.37,3,3518.33,385.52,157.03,0.122,0.006
195,2020-06-05,Central,Phone,Regular,Beauty,2958.42,7,4117.73,645.4,101.82,0.432,0.134
196,2021-04-03,North,Mobile App,Regular,Sports,6657.87,76,1291.32,163.47,150.59,0.302,0.142
197,2022-02-13,North,In-Store,Premium,Electronics,6154.42,68,537.28,57.15,29.85,0.305,0.062
198,2020-08-15,South,Phone,Basic,Garden,4880.38,91,3987.72,524.65,80.77,0.462,0.136
199,2021-04-20,West,Mobile App,Premium,Automotive,1998.01,26,4198.73,982.24,42.72,0.484,0.122
200,2022-01-06,Central,In-Store,Premium,Automotive,9551.67,4,321.43,567.74,192.81,0.112,0.008
201,2022-10-05,Central,In-Store,Premium,Garden,7588.27,22,3614.36,419.46,52.6,0.14,0.01
202,2023-02-15,East,Phone,Premium,Electronics,2561.48,90,1536.23,757.2,36.24,0.266,0.023
203,2020-09-26,Central,In-Store,Basic,Sports,2565.31,76,4653.66,746.57,40.85,0.485,0.034
204,2022-12-22,West,Mobile App,Basic,Electronics,829.2,10,579.03,657.49,151.53,0.456,0.15
205,2021-07-21,South,Online,Basic,Books,6257.1,82,3722.96,621.57,144.88,0.251,0.076
206,2022-08-17,North,Mobile App,Premium,Books,389.48,72,1164.65,92.41,103.67,0.283,0.061
207,2023-04-30,Central,Phone,Regular,Toys,3769.72,54,4624.09,801.57,106.6,0.175,0.017
208,2022-03-10,West,Phone,Premium,Automotive,745.66,91,2847.72,268.46,132.67,0.432,0.058
209,2022-07-21,Central,Mobile App,Premium,Clothing,8048.2,69,1153.76,48.98,141.65,0.364,0.087
210,2022-10-17,South,Phone,Basic,Beauty,7153.26,12,4646.01,846.94,163.15,0.331,0.027
211,2023-01-07,North,Online,Basic,Automotive,4701.46,41,3375.38,119.29,92.52,0.377,0.063
212,2020-10-17,East,In-Store,Premium,Food,1237.28,78,4739.98,387.37,153.26,0.32,0.026
213,2021-10-29,North,Online,Premium,Automotive,5763.39,82,4447.73,539.64,20.15,0.464,0.119
214,2020-12-17,Central,In-Store,Basic,Sports,5983.32,11,750.97,512.06,84.82,0.311,0.026
215,2022-03-17,Central,In-Store,Premium,Clothing,9463.04,91,4122.26,568.26,191.62,0.267,0.08
216,2021-10-27,Central,In-Store,Regular,Electronics,7622.19,73,327.01,750.18,27.84,0.469,0.094
217,2023-02-18,East,Online,Basic,Beauty,9634.76,3,4939.43,915.85,79.45,0.488,0.093
218,2021-09-29,North,In-Store,Basic,Home,3741.14,95,1392.52,744.79,25.27,0.175,0.019
219,2021-07-24,Central,Mobile App,Basic,Clothing,3678.84,86,72.05,522.28,135.27,0.267,0.144
220,2020-07-25,Central,In-Store,Regular,Electronics,6498.12,30,4987.55,673.04,130.57,0.372,0.116
221,2021-02-14,South,In-Store,Premium,Garden,8965.18,56,4493.23,80.19,15.16,0.355,0.002
222,2021-01-02,West,Phone,Premium,Sports,9989.02,17,2940.58,20.96,35.42,0.288,0.02
223,2021-12-17,Central,Phone,Regular,Garden,1230.84,86,313.35,695.64,103.5,0.322,0.108
224,2021-08-11,Central,Online,Basic,Clothing,115.27,5,161.31,209.46,47.01,0.259,0.027
225,2022-06-12,East,In-Store,Premium,Books,9882.23,22,1589.87,401.62,126.17,0.359,0.095
226,2023-05-17,South,Phone,Premium,Food,5884.02,84,4390.95,863.51,151.92,0.214,0.135
227,2023-07-29,Central,Mobile App,Premium,Beauty,7334.46,53,2142.88,575.34,157.4,0.456,0.014
228,2023-04-27,North,In-Store,Basic,Books,5581.85,28,4992.57,685.01,103.9,0.255,0.112
229,2023-05-24,North,In-Store,Regular,Toys,5955.4,50,1192.05,338.92,37.39,0.183,0.121
230,2023-10-15,South,Online,Premium,Clothing,6794.46,29,2441.15,159.38,154.21,0.24,0.027
231,2021-11-17,South,Mobile App,Premium,Garden,7753.0,27,3975.06,376.7,77.11,0.242,0.101
232,2023-03-18,East,Mobile App,Premium,Clothing,3184.49,76,1930.27,342.65,66.48,0.447,0.048
233,2021-08-13,Central,Phone,Regular,Sports,1665.43,9,3521.83,240.68,186.93,0.115,0.006
234,2022-06-27,East,Mobile App,Basic,Clothing,4438.08,66,4575.91,20.8,196.36,0.472,0.119
235,2022-05-07,Central,Mobile App,Basic,Home,4422.37,99,2011.35,644.46,175.16,0.373,0.059
236,2023-11-20,Central,Online,Regular,Toys,7479.21,81,538.2,65.98,111.56,0.263,0.061
237,2023-09-12,West,Online,Basic,Books,182.79,58,2918.41,296.57,48.03,0.225,0.098
238,2023-12-30,East,Mobile App,Regular,Beauty,7584.37,41,4901.98,667.33,142.35,0.19,0.053
239,2021-05-18,South,Online,Basic,Automotive,1650.31,5,3424.7,649.85,182.52,0.415,0.074
240,2020-02-25,Central,Mobile App,Basic,Food,6022.36,85,731.07,390.4,167.57,0.347,0.022
241,2020-01-09,South,Mobile App,Regular,Books,6051.41,17,4948.62,117.41,159.42,0.242,0.104
242,2021-02-13,North,In-Store,Basic,Garden,2735.27,46,3382.87,774.77,54.64,0.223,0.08
243,2022-03-12,Central,Online,Basic,Food,4709.7,72,2432.49,859.69,83.58,0.444,0.127
244,2020-12-25,Central,Online,Basic,Sports,1233.4,83,4606.27,85.41,32.65,0.293,0.148
245,2023-02-25,North,Online,Premium,Books,7695.29,26,1657.47,828.38,140.03,0.184,0.087
246,2023-09-29,North,Online,Premium,Automotive,8006.51,91,4648.95,87.16,89.84,0.385,0.1
247,2022-01-16,South,Online,Basic,Electronics,5199.13,3,2857.91,76.32,73.7,0.185,0.136
248,2021-12-19,South,In-Store,Regular,Garden,2052.29,39,1854.78,694.33,159.63,0.305,0.005
249,2023-09-08,East,Mobile App,Basic,Books,7441.48,91,2935.8,887.03,129.19,0.497,0.058
250,2023-12-07,North,Phone,Regular,Toys,3531.02,64,3962.39,441.91,172.79,0.267,0.142
251,2022-12-19,Central,Mobile App,Basic,Electronics,9005.39,46,2575.63,294.19,127.08,0.327,0.058
252,2022-01-20,East,Phone,Regular,Sports,3368.66,44,2059.28,556.93,94.39,0.413,0.047
253,2021-03-15,West,In-Store,Regular,Automotive,5081.28,83,2338.76,705.95,59.95,0.145,0.045
254,2020-02-18,North,Phone,Regular,Food,931.95,89,1172.99,443.25,144.43,0.219,0.09
255,2021-09-10,Central,In-Store,Premium,Clothing,4288.76,54,4078.64,783.95,116.02,0.147,0.146
256,2020-10-28,Central,In-Store,Basic,Garden,2953.44,56,829.33,392.67,53.81,0.422,0.134
257,2023-03-07,South,In-Store,Premium,Clothing,753.98,15,2934.2,705.71,53.52,0.417,0.045
258,2021-10-29,North,Online,Premium,Clothing,6197.07,62,2172.15,20.09,19.73,0.491,0.047
259,2021-09-20,North,Mobile App,Basic,Clothing,1971.97,49,2610.77,401.69,54.61,0.434,0.139
260,2022-04-24,North,Phone,Regular,Electronics,501.64,44,858.9,574.94,164.69,0.286,0.097
261,2021-05-19,South,Online,Premium,Beauty,8557.76,33,1756.1,461.68,149.1,0.466,0.046
262,2023-05-12,East,In-Store,Basic,Electronics,2174.98,76,1210.31,935.88,71.37,0.101,0.143
263,2022-11-06,West,Phone,Basic,Books,6978.85,99,4919.1,250.22,151.83,0.254,0.005
264,2023-03-15,South,Phone,Basic,Toys,3957.9,12,2685.21,712.59,165.2,0.318,0.051
265,2022-09-02,East,Online,Regular,Home,8880.04,9,3098.13,999.3,101.98,0.327,0.149
266,2021-10-22,East,Online,Regular,Clothing,356.9,84,2530.19,742.54,124.5,0.35,0.096
267,2022-09-10,West,Phone,Basic,Garden,5988.21,24,2494.73,373.84,70.97,0.37,0.016
268,2022-10-21,West,Mobile App,Premium,Automotive,8148.98,91,1122.61,219.52,136.92,0.102,0.14
